10,6.8
11,2.8
12,2.4
13,2.2
14,2.4
15,2.2
16,2.2
17,2.4
18,2.6
19,2.6
20,2.6
21,2.6
22,2.8
23,3.0
24,3.0
25,3.4
26,3.2
27,3.4
28,3.4
29,4.0
30,4.2
31,4.2
32,4.4
33,3.8
34,4.4
35,4.2
36,4.2
37,4.6
38,4.4
39,4.6
40,4.6
41,4.6
42,4.4
43,5.8
44,5.6
45,5.8
46,6.0
47,6.2
48,5.8
49,5.6
50,5.8
51,6.0
52,6.0
53,6.2
54,6.4
55,6.4
56,6.6
57,6.4
58,6.6
59,7.0
60,7.0
61,7.0
62,7.2
63,7.2
64,7.4
65,7.4
66,7.6
67,7.6
68,7.8
69,8.0
70,8.2
71,8.2
72,8.2
73,8.2
74,8.4
75,8.6
76,8.8
77,8.6
78,8.8
79,9.0
80,9.2
81,9.0
82,9.8
83,9.4
84,9.6
85,9.6
86,9.8
87,9.6
88,10.0
89,10.2
90,10.2
91,10.4
92,10.4
93,10.6
94,10.4
95,10.6
96,10.6
97,11.4
98,11.0
99,11.0
100,11.0
101,11.4
102,11.4
103,11.6
104,11.8
105,12.4
106,11.8
107,12.0
108,12.6
109,12.2
110,12.0
111,12.4
112,12.2
113,12.8
114,12.4
115,13.0
116,13.0
117,12.8
118,13.2
119,13.4
120,13.6
121,14.0
122,13.6
123,13.8
124,14.0
125,14.0
126,14.0
127,14.2
128,14.0
129,14.6
130,14.6
131,15.0
132,15.0
133,15.0
134,14.6
135,15.2
136,15.2
137,15.4
138,15.2
139,15.6
140,15.6
141,15.8
142,16.0
143,17.0
144,16.2
145,16.0
146,16.4
147,17.0
148,16.6
149,16.4
150,16.2
151,17.0
152,16.8
153,17.4
154,17.2
155,17.2
156,17.6
157,17.6
158,17.8
159,18.6
160,17.8
161,18.0
162,18.6
163,18.2
164,18.6
165,18.6
166,18.6
167,18.4
168,18.6
169,19.2
170,19.4
171,19.2
172,19.8
173,19.4
174,19.6
175,19.8
176,20.0
177,20.2
178,20.4
179,20.6
180,20.4
181,20.8
182,20.8
183,21.0
184,21.0
185,21.2
186,21.2
187,21.2
188,21.4
189,21.4
190,21.4
191,21.4
192,21.6
193,22.0
194,21.8
195,22.4
196,22.2
197,23.2
198,22.6
199,23.0
200,23.4
